,year,temperature_2m
0,1950,-21.287607
1,1951,-24.080465
2,1952,-25.184765
3,1953,-25.149658
4,1954,-25.574589
5,1955,-24.203379
6,1956,-22.595905
7,1957,-22.466702
8,1958,-23.349674
9,1959,-23.097471
10,1960,-24.61782
11,1961,-23.354713
12,1962,-24.710869
13,1963,-24.072048
14,1964,-23.942217
15,1965,-23.877523
16,1966,-24.308487
17,1967,-23.860718
18,1968,-24.525732
19,1969,-23.95662
20,1970,-20.970217
21,1971,-21.301666
22,1972,-20.835325
23,1973,-22.31509
24,1974,-21.701677
25,1975,-23.334162
26,1976,-25.15493
27,1977,-24.601072
28,1978,-23.890558
29,1979,-22.767809
30,1980,-19.742382
31,1981,-21.824047
32,1982,-23.351067
33,1983,-21.681705
34,1984,-20.604376
35,1985,-22.275581
36,1986,-22.08219
37,1987,-21.435
38,1988,-20.21233
39,1989,-21.606838
40,1990,-22.19247
41,1991,-21.13593
42,1992,-22.21489
43,1993,-21.71307
44,1994,-22.552277
45,1995,-22.21741
46,1996,-20.458952
47,1997,-22.058601
48,1998,-21.782928
49,1999,-21.574839
50,2000,-21.931044
51,2001,-22.55429
52,2002,-22.458149
53,2003,-21.661312
54,2004,-24.359688
55,2005,-22.43799
56,2006,-22.224405
57,2007,-20.185234
58,2008,-21.126547
59,2009,-21.973488
60,2010,-22.238297
61,2011,-19.720125
62,2012,-20.851809
63,2013,-21.457088
64,2014,-20.502466
65,2015,-22.143543
66,2016,-22.578217
67,2017,-18.793964
68,2018,-18.220358
69,2019,-17.900757
70,2020,-18.46882
71,2021,-19.024889
72,2022,-18.242178
73,2023,-20.61904
74,2024,-19.785818
75,2025,-22.481155
