,year,temperature_2m,,16.417
0,1950,17.323023,0.906023,
1,1951,16.389036,-0.027964,
2,1952,16.672503,0.255503,
3,1953,16.540302,0.123302,
4,1954,16.43415,0.01715,
5,1955,16.700018,0.283018,
6,1956,15.897196,-0.519804,
7,1957,16.886753,0.469753,
8,1958,16.501,0.084,
9,1959,16.451815,0.034815,
10,1960,16.266226,-0.150774,
11,1961,16.39798,-0.01902,
12,1962,15.924584,-0.492416,
13,1963,16.006468,-0.410532,
14,1964,16.33144,-0.08556,
15,1965,16.553162,0.136162,
16,1966,16.084606,-0.332394,
17,1967,16.355042,-0.061958,
18,1968,16.750134,0.333134,
19,1969,16.167295,-0.249705,
20,1970,16.116518,-0.300482,
21,1971,16.035234,-0.381766,
22,1972,16.152506,-0.264494,
23,1973,16.876154,0.459154,
24,1974,15.865355,-0.551645,
25,1975,16.275377,-0.141623,
26,1976,15.541002,-0.875998,
27,1977,16.29604,-0.12096,
28,1978,15.961286,-0.455714,
29,1979,16.661318,0.244318,
30,1980,17.404295,0.987295,
31,1981,16.696228,0.279228,
32,1982,16.636776,0.219776,
33,1983,16.71088,0.29388,
34,1984,15.811148,-0.605852,
35,1985,16.078579,-0.338421,
36,1986,15.960485,-0.456515,
37,1987,16.165018,-0.251982,
38,1988,16.803007,0.386007,
39,1989,16.335554,-0.081446,
40,1990,16.37044,-0.04656,
41,1991,16.835308,0.418308,
42,1992,15.630221,-0.786779,
43,1993,16.540121,0.123121,
44,1994,16.46919,0.05219,
45,1995,15.980435,-0.436565,
46,1996,16.007362,-0.409638,
47,1997,16.746902,0.329902,
48,1998,17.066805,0.649805,
49,1999,16.249184,-0.167816,
50,2000,16.294025,-0.122975,
51,2001,16.710321,0.293321,
52,2002,16.964647,0.547647,
53,2003,16.541359,0.124359,
54,2004,16.998466,0.581466,
55,2005,17.133442,0.716442,
56,2006,17.08709,0.67009,
57,2007,17.030058,0.613058,
58,2008,16.383268,-0.033732,
59,2009,17.402729,0.985729,
60,2010,16.88685,0.46985,
61,2011,16.64164,0.22464,
62,2012,16.44452,0.02752,
63,2013,17.163094,0.746094,
64,2014,17.235668,0.818668,
65,2015,16.86673,0.44973,
66,2016,17.521997,1.104997,
67,2017,17.47859,1.06159,
68,2018,17.360838,0.943838,
69,2019,17.844156,1.427156,
70,2020,16.84566,0.42866,
71,2021,16.306204,-0.110796,
72,2022,16.378899,-0.038101,
73,2023,17.226038,0.809038,
74,2024,17.650776,1.233776,
75,2025,16.888111,0.471111,
