,antartica
,132
1950,2.483393
1951,-0.309465
1952,-1.413765
1953,-1.378658
1954,-1.803589
1955,-0.432379
1956,1.175095
1957,1.304298
1958,0.421326
1959,0.673529
1960,-0.84682
1961,0.416287
1962,-0.939869
1963,-0.301048
1964,-0.171217
1965,-0.106523
1966,-0.537487
1967,-0.089718
1968,-0.754732
1969,-0.18562
1970,2.800783
1971,2.469334
1972,2.935675
1973,1.45591
1974,2.069323
1975,0.436838
1976,-1.38393
1977,-0.830072
1978,-0.119558
1979,1.003191
1980,4.028618
1981,1.946953
1982,0.419933
1983,2.089295
1984,3.166624
1985,1.495419
1986,1.68881
1987,2.336
1988,3.55867
1989,2.164162
1990,1.57853
1991,2.63507
1992,1.55611
1993,2.05793
1994,1.218723
1995,1.55359
1996,3.312048
1997,1.712399
1998,1.988072
1999,2.196161
2000,1.839956
2001,1.21671
2002,1.312851
2003,2.109688
2004,-0.588688
2005,1.33301
2006,1.546595
2007,3.585766
2008,2.644453
2009,1.797512
2010,1.532703
2011,4.050875
2012,2.919191
2013,2.313912
2014,3.268534
2015,1.627457
2016,1.192783
2017,4.977036
2018,5.550642
2019,5.870243
2020,5.30218
2021,4.746111
2022,5.528822
2023,3.15196
2024,3.985182
2025,1.289845
