,year,temperature_2m,,18.19
0,1950,18.134594,-0.055406,
1,1951,18.207094,0.017094,
2,1952,18.11171,-0.07829,
3,1953,17.786192,-0.403808,
4,1954,18.335947,0.145947,
5,1955,18.444424,0.254424,
6,1956,18.22482,0.03482,
7,1957,18.149376,-0.040624,
8,1958,18.403755,0.213755,
9,1959,18.375929,0.185929,
10,1960,18.287489,0.097489,
11,1961,18.543139,0.353139,
12,1962,18.260588,0.070588,
13,1963,17.981386,-0.208614,
14,1964,17.594463,-0.595537,
15,1965,17.998434,-0.191566,
16,1966,18.33844,0.14844,
17,1967,18.210936,0.020936,
18,1968,17.756758,-0.433242,
19,1969,18.492435,0.302435,
20,1970,18.36028,0.17028,
21,1971,17.973886,-0.216114,
22,1972,18.34749,0.15749,
23,1973,18.720263,0.530263,
24,1974,18.000244,-0.189756,
25,1975,18.323994,0.133994,
26,1976,18.584394,0.394394,
27,1977,18.047676,-0.142324,
28,1978,17.90691,-0.28309,
29,1979,18.047642,-0.142358,
30,1980,18.548426,0.358426,
31,1981,18.425787,0.235787,
32,1982,18.504068,0.314068,
33,1983,18.691078,0.501078,
34,1984,18.443193,0.253193,
35,1985,17.787264,-0.402736,
36,1986,18.243036,0.053036,
37,1987,19.024075,0.834075,
38,1988,18.463795,0.273795,
39,1989,17.875479,-0.314521,
40,1990,18.151962,-0.038038,
41,1991,18.68917,0.49917,
42,1992,18.369001,0.179001,
43,1993,18.307653,0.117653,
44,1994,18.61435,0.42435,
45,1995,18.438772,0.248772,
46,1996,18.428997,0.238997,
47,1997,18.596317,0.406317,
48,1998,18.367802,0.177802,
49,1999,18.289656,0.099656,
50,2000,18.767403,0.577403,
51,2001,18.347162,0.157162,
52,2002,18.589554,0.399554,
53,2003,18.797232,0.607232,
54,2004,18.799313,0.609313,
55,2005,18.861563,0.671563,
56,2006,18.658567,0.468567,
57,2007,18.802317,0.612317,
58,2008,18.703957,0.513957,
59,2009,19.265764,1.075764,
60,2010,18.825747,0.635747,
61,2011,19.209126,1.019126,
62,2012,19.06286,0.87286,
63,2013,18.708122,0.518122,
64,2014,19.039724,0.849724,
65,2015,19.32553,1.13553,
66,2016,19.152847,0.962847,
67,2017,18.926647,0.736647,
68,2018,17.989382,-0.200618,
69,2019,18.760832,0.570832,
70,2020,18.25888,0.06888,
71,2021,18.33755,0.14755,
72,2022,18.44671,0.25671,
73,2023,18.960026,0.770026,
74,2024,19.123459,0.933459,
75,2025,19.1132,0.9232,
