,year,temperature_2m,,10.28
0,1950,7.1237135,-3.1562865,
1,1951,10.123942,-0.156058,
2,1952,9.492924,-0.787076,
3,1953,9.909302,-0.370698,
4,1954,8.735119,-1.544881,
5,1955,9.916049,-0.363951,
6,1956,8.373844,-1.906156,
7,1957,8.807344,-1.472656,
8,1958,10.745684,0.465684,
9,1959,11.104428,0.824428,
10,1960,11.325477,1.045477,
11,1961,12.408805,2.128805,
12,1962,11.520786,1.240786,
13,1963,11.67618,1.39618,
14,1964,10.297586,0.017586,
15,1965,11.510489,1.230489,
16,1966,11.311637,1.031637,
17,1967,10.049097,-0.230903,
18,1968,11.447267,1.167267,
19,1969,9.431111,-0.848889,
20,1970,10.562367,0.282367,
21,1971,11.056591,0.776591,
22,1972,11.466209,1.186209,
23,1973,11.034393,0.754393,
24,1974,10.977047,0.697047,
25,1975,12.39393,2.11393,
26,1976,10.792975,0.512975,
27,1977,11.122105,0.842105,
28,1978,11.656174,1.376174,
29,1979,10.722458,0.442458,
30,1980,10.7718,0.4918,
31,1981,11.568446,1.288446,
32,1982,11.872772,1.592772,
33,1983,12.440661,2.160661,
34,1984,11.217065,0.937065,
35,1985,10.846968,0.566968,
36,1986,11.21461,0.93461,
37,1987,11.5006485,1.2206485,
38,1988,11.671908,1.391908,
39,1989,12.383434,2.103434,
40,1990,11.635449,1.355449,
41,1991,11.563429,1.283429,
42,1992,11.998485,1.718485,
43,1993,11.983857,1.703857,
44,1994,12.644668,2.364668,
45,1995,12.012675,1.732675,
46,1996,11.410876,1.130876,
47,1997,12.573697,2.293697,
48,1998,12.761237,2.481237,
49,1999,12.926665,2.646665,
50,2000,12.072972,1.792972,
51,2001,12.256933,1.976933,
52,2002,12.73211,2.45211,
53,2003,12.40328,2.12328,
54,2004,12.703193,2.423193,
55,2005,12.425865,2.145865,
56,2006,12.645758,2.365758,
57,2007,13.180415,2.900415,
58,2008,12.33639,2.05639,
59,2009,12.551317,2.271317,
60,2010,11.529393,1.249393,
61,2011,12.184211,1.904211,
62,2012,11.802742,1.522742,
63,2013,12.032566,1.752566,
64,2014,13.262944,2.982944,
65,2015,12.795501,2.515501,
66,2016,12.613809,2.333809,
67,2017,13.069459,2.789459,
68,2018,12.761519,2.481519,
69,2019,13.376943,3.096943,
70,2020,13.041623,2.761623,
71,2021,12.573814,2.293814,
72,2022,12.537713,2.257713,
73,2023,13.234671,2.954671,
74,2024,13.534598,3.254598,
75,2025,16.190964,5.910964,
