,antartica,north amer,south amer,europe,africa,asia,australia
,132,243,178,99,301,446,77
1950,2.483393,-1.616029,-0.316624,-2.329375,-0.055406,-3.1562865,0.906023
1951,-0.309465,-0.144919,-0.480919,0.1650625,0.017094,-0.156058,-0.027964
1952,-1.413765,0.740324,-0.433767,0.164318,-0.07829,-0.787076,0.255503
1953,-1.378658,1.676725,-0.109759,0.332957,-0.403808,-0.370698,0.123302
1954,-1.803589,0.252204,0.260559,-0.260428,0.145947,-1.544881,0.01715
1955,-0.432379,0.9112,0.00668,0.031867,0.254424,-0.363951,0.283018
1956,1.175095,-0.091114,-0.349034,-0.960442,0.03482,-1.906156,-0.519804
1957,1.304298,0.229123,-0.076111,0.627757,-0.040624,-1.472656,0.469753
1958,0.421326,-0.287676,0.485708,0.14895,0.213755,0.465684,0.084
1959,0.673529,-0.043344,0.590923,1.43028,0.185929,0.824428,0.034815
1960,-0.84682,-0.046084,-0.133251,0.4791065,0.097489,1.045477,-0.150774
1961,0.416287,0.14455,1.438944,1.32012,0.353139,2.128805,-0.01902
1962,-0.939869,-0.455832,-0.831946,-0.656415,0.070588,1.240786,-0.492416
1963,-0.301048,-0.472869,0.498995,-0.840651,-0.208614,1.39618,-0.410532
1964,-0.171217,0.646813,-0.889973,0.240621,-0.595537,0.017586,-0.08556
1965,-0.106523,-0.289211,0.289457,-0.321912,-0.191566,1.230489,0.136162
1966,-0.537487,-0.295153,0.242538,0.347147,0.14844,1.031637,-0.332394
1967,-0.089718,-0.4904045,0.293783,0.292917,0.020936,-0.230903,-0.061958
1968,-0.754732,-0.12237,-0.923027,-0.227992,-0.433242,1.167267,0.333134
1969,-0.18562,-0.081009,0.305216,0.072774,0.302435,-0.848889,-0.249705
1970,2.800783,-0.099166,0.219251,0.012329,0.17028,0.282367,-0.300482
1971,2.469334,0.347232,0.123163,0.148658,-0.216114,0.776591,-0.381766
1972,2.935675,-1.041974,0.432829,-0.345712,0.15749,1.186209,-0.264494
1973,1.45591,1.325246,0.449262,0.038425,0.530263,0.754393,0.459154
1974,2.069323,0.184395,0.35456,0.390577,-0.189756,0.697047,-0.551645
1975,0.436838,0.492906,-0.085468,0.137289,0.133994,2.11393,-0.141623
1976,-1.38393,-0.421977,0.012054,0.834116,0.394394,0.512975,-0.875998
1977,-0.830072,0.210686,0.886993,0.169292,-0.142324,0.842105,-0.12096
1978,-0.119558,-0.7963914,0.202576,-0.465468,-0.28309,1.376174,-0.455714
1979,1.003191,-0.138538,-0.403116,-0.351284,-0.142358,0.442458,0.244318
1980,4.028618,-0.369284,0.367391,-0.489364,0.358426,0.4918,0.987295
1981,1.946953,0.1264,-0.186587,0.201222,0.235787,1.288446,0.279228
1982,0.419933,0.061257,-0.039778,0.932255,0.314068,1.592772,0.219776
1983,2.089295,0.847238,0.21092,0.768059,0.501078,2.160661,0.29388
1984,3.166624,0.323708,0.546297,0.120244,0.253193,0.937065,-0.605852
1985,1.495419,0.096628,-0.117329,-0.596462,-0.402736,0.566968,-0.338421
1986,1.68881,0.416314,0.452026,-0.261198,0.053036,0.93461,-0.456515
1987,2.336,1.733009,0.213318,-0.444601,0.834075,1.2206485,-0.251982
1988,3.55867,0.66862,-0.146115,0.944856,0.273795,1.391908,0.386007
1989,2.164162,-0.32456,-0.280024,1.40024,-0.314521,2.103434,-0.081446
1990,1.57853,1.169316,0.633482,1.637969,-0.038038,1.355449,-0.04656
1991,2.63507,1.585492,0.115064,0.279035,0.49917,1.283429,0.418308
1992,1.55611,0.006689,0.354875,0.71676,0.179001,1.718485,-0.786779
1993,2.05793,-0.054343,0.717956,0.369538,0.117653,1.703857,0.123121
1994,1.218723,0.15745,0.576427,1.626136,0.42435,2.364668,0.05219
1995,1.55359,0.379476,0.566255,1.222278,0.248772,1.732675,-0.436565
1996,3.312048,-0.631563,-0.068009,-0.263323,0.238997,1.130876,-0.409638
