,year,temperature_2m
0,1950,8.110625
1,1951,10.6050625
2,1952,10.604318
3,1953,10.772957
4,1954,10.179572
5,1955,10.471867
6,1956,9.479558
7,1957,11.067757
8,1958,10.58895
9,1959,11.87028
10,1960,10.9191065
11,1961,11.76012
12,1962,9.783585
13,1963,9.599349
14,1964,10.680621
15,1965,10.118088
16,1966,10.787147
17,1967,10.732917
18,1968,10.212008
19,1969,10.512774
20,1970,10.452329
21,1971,10.588658
22,1972,10.094288
23,1973,10.478425
24,1974,10.830577
25,1975,10.577289
26,1976,11.274116
27,1977,10.609292
28,1978,9.974532
29,1979,10.088716
30,1980,9.950636
31,1981,10.641222
32,1982,11.372255
33,1983,11.208059
34,1984,10.560244
35,1985,9.843538
36,1986,10.178802
37,1987,9.995399
38,1988,11.384856
39,1989,11.84024
40,1990,12.077969
41,1991,10.719035
42,1992,11.15676
43,1993,10.809538
44,1994,12.066136
45,1995,11.662278
46,1996,10.176677
47,1997,11.508527
48,1998,11.168054
49,1999,11.831872
50,2000,11.5902815
51,2001,11.337762
52,2002,11.881992
53,2003,12.089761
54,2004,11.404717
55,2005,11.633363
56,2006,11.891735
57,2007,11.801747
58,2008,11.215515
59,2009,11.48226
60,2010,10.352762
61,2011,12.452923
62,2012,11.457796
63,2013,11.015366
64,2014,12.198225
65,2015,12.161256
66,2016,11.657495
67,2017,12.022933
68,2018,12.591119
69,2019,12.245851
70,2020,13.0664835
71,2021,11.441101
72,2022,12.928926
73,2023,12.92435
74,2024,12.288455
75,2025,13.627383
