,year,temperature_2m,,8.65
0,1950,7.033971,-1.616029,
1,1951,8.505081,-0.144919,
2,1952,9.390324,0.740324,
3,1953,10.326725,1.676725,
4,1954,8.902204,0.252204,
5,1955,9.5612,0.9112,
6,1956,8.558886,-0.091114,
7,1957,8.879123,0.229123,
8,1958,8.362324,-0.287676,
9,1959,8.606656,-0.043344,
10,1960,8.603916,-0.046084,
11,1961,8.79455,0.14455,
12,1962,8.194168,-0.455832,
13,1963,8.177131,-0.472869,
14,1964,9.296813,0.646813,
15,1965,8.360789,-0.289211,
16,1966,8.354847,-0.295153,
17,1967,8.1595955,-0.4904045,
18,1968,8.52763,-0.12237,
19,1969,8.568991,-0.081009,
20,1970,8.550834,-0.099166,
21,1971,8.997232,0.347232,
22,1972,7.608026,-1.041974,
23,1973,9.975246,1.325246,
24,1974,8.834395,0.184395,
25,1975,9.142906,0.492906,
26,1976,8.228023,-0.421977,
27,1977,8.860686,0.210686,
28,1978,7.8536086,-0.7963914,
29,1979,8.511462,-0.138538,
30,1980,8.280716,-0.369284,
31,1981,8.7764,0.1264,
32,1982,8.711257,0.061257,
33,1983,9.497238,0.847238,
34,1984,8.973708,0.323708,
35,1985,8.746628,0.096628,
36,1986,9.066314,0.416314,
37,1987,10.383009,1.733009,
38,1988,9.31862,0.66862,
39,1989,8.32544,-0.32456,
40,1990,9.819316,1.169316,
41,1991,10.235492,1.585492,
42,1992,8.656689,0.006689,
43,1993,8.595657,-0.054343,
44,1994,8.80745,0.15745,
45,1995,9.029476,0.379476,
46,1996,8.018437,-0.631563,
47,1997,8.691902,0.041902,
48,1998,11.219835,2.569835,
49,1999,10.104596,1.454596,
50,2000,9.247741,0.597741,
51,2001,10.136439,1.486439,
52,2002,9.856348,1.206348,
53,2003,8.543477,-0.106523,
54,2004,9.02956,0.37956,
55,2005,9.772535,1.122535,
56,2006,10.33318,1.68318,
57,2007,9.946405,1.296405,
58,2008,8.887261,0.237261,
59,2009,8.642575,-0.007425,
60,2010,10.272359,1.622359,
61,2011,9.445413,0.795413,
62,2012,11.427517,2.777517,
63,2013,8.874448,0.224448,
64,2014,7.6684027,-0.9815973,
65,2015,9.322517,0.672517,
66,2016,10.532434,1.882434,
67,2017,10.13053,1.48053,
68,2018,9.482374,0.832374,
69,2019,8.988185,0.338185,
70,2020,10.256661,1.606661,
71,2021,10.654103,2.004103,
72,2022,9.4075165,0.7575165,
73,2023,10.604954,1.954954,
74,2024,11.179345,2.529345,
75,2025,10.872212,2.222212,
