,year,temperature_2m,,22.91
0,1950,22.593376,-0.316624,
1,1951,22.429081,-0.480919,
2,1952,22.476233,-0.433767,
3,1953,22.800241,-0.109759,
4,1954,23.170559,0.260559,
5,1955,22.91668,0.00668,
6,1956,22.560966,-0.349034,
7,1957,22.833889,-0.076111,
8,1958,23.395708,0.485708,
9,1959,23.500923,0.590923,
10,1960,22.776749,-0.133251,
11,1961,24.348944,1.438944,
12,1962,22.078054,-0.831946,
13,1963,23.408995,0.498995,
14,1964,22.020027,-0.889973,
15,1965,23.199457,0.289457,
16,1966,23.152538,0.242538,
17,1967,23.203783,0.293783,
18,1968,21.986973,-0.923027,
19,1969,23.215216,0.305216,
20,1970,23.129251,0.219251,
21,1971,23.033163,0.123163,
22,1972,23.342829,0.432829,
23,1973,23.359262,0.449262,
24,1974,23.26456,0.35456,
25,1975,22.824532,-0.085468,
26,1976,22.922054,0.012054,
27,1977,23.796993,0.886993,
28,1978,23.112576,0.202576,
29,1979,22.506884,-0.403116,
30,1980,23.277391,0.367391,
31,1981,22.723413,-0.186587,
32,1982,22.870222,-0.039778,
33,1983,23.12092,0.21092,
34,1984,23.456297,0.546297,
35,1985,22.792671,-0.117329,
36,1986,23.362026,0.452026,
37,1987,23.123318,0.213318,
38,1988,22.763885,-0.146115,
39,1989,22.629976,-0.280024,
40,1990,23.543482,0.633482,
41,1991,23.025064,0.115064,
42,1992,23.264875,0.354875,
43,1993,23.627956,0.717956,
44,1994,23.486427,0.576427,
45,1995,23.476255,0.566255,
46,1996,22.841991,-0.068009,
47,1997,23.559217,0.649217,
48,1998,23.563295,0.653295,
49,1999,22.603249,-0.306751,
50,2000,23.019953,0.109953,
51,2001,23.806044,0.896044,
52,2002,24.264927,1.354927,
53,2003,23.49507,0.58507,
54,2004,22.737518,-0.172482,
55,2005,23.35423,0.44423,
56,2006,23.276833,0.366833,
57,2007,23.596268,0.686268,
58,2008,22.728909,-0.181091,
59,2009,23.38388,0.47388,
60,2010,23.339298,0.429298,
61,2011,22.921741,0.011741,
62,2012,23.636574,0.726574,
63,2013,22.951632,0.041632,
64,2014,23.992723,1.082723,
65,2015,24.269022,1.359022,
66,2016,23.679266,0.769266,
67,2017,24.00714,1.09714,
68,2018,23.732069,0.822069,
69,2019,24.288458,1.378458,
70,2020,23.777128,0.867128,
71,2021,23.378891,0.468891,
72,2022,23.378275,0.468275,
73,2023,24.25982,1.34982,
74,2024,24.647175,1.737175,
75,2025,24.165283,1.255283,
